     |  1 1 |      |      |  4 2 |  5 1 |  6 1 |  7 1 |      |      |  5 |  0 | 14567
     |  1 1 |      |  3 1 |  4 1 |      |  6 1 |  7 1 |      |  9 1 |  6 |  2 | 134679
 0 1 |  1 3 |      |  3 1 |      |      |      |  7 1 |      |      |  4 |  3 | 0137
     |  1 1 |  2 1 |  3 2 |      |      |      |      |  8 1 |  9 1 |  5 |  2 | 12389
 0 2 |      |      |      |  4 1 |      |      |      |  8 1 |  9 2 |  4 |  2 | 0489
     |      |      |  3 1 |  4 1 |  5 1 |  6 1 |      |  8 1 |  9 1 |  6 |  3 | 345689
 0 1 |      |      |  3 2 |      |      |  6 1 |  7 1 |      |  9 1 |  5 |  3 | 03679
     |      |      |  3 1 |  4 1 |  5 1 |  6 1 |  7 1 |      |  9 1 |  6 |  4 | 345679
 0 1 |      |  2 1 |      |  4 2 |      |  6 1 |  7 1 |      |      |  5 |  3 | 02467
 0 1 |      |      |      |  4 1 |  5 1 |      |  7 2 |      |  9 1 |  5 |  3 | 04579
 0 1 |      |      |  3 1 |  4 1 |  5 1 |      |  7 1 |      |  9 1 |  6 |  5 | 034579
 0 1 |      |  2 1 |  3 1 |  4 1 |      |  6 1 |      |  8 1 |      |  6 |  3 | 023468
     |  1 2 |  2 1 |  3 1 |      |  5 1 |      |      |  8 1 |      |  5 |  3 | 12358
 0 1 |  1 1 |  2 2 |      |      |  5 1 |      |      |  8 1 |      |  5 |  4 | 01258
 0 1 |  1 2 |      |      |      |      |  6 1 |  7 1 |  8 1 |      |  5 |  3 | 01678
     |  1 1 |  2 1 |  3 1 |  4 1 |  5 1 |      |  7 1 |      |      |  6 |  2 | 123457
     |  1 1 |  2 2 |      |      |      |  6 1 |      |  8 1 |  9 1 |  5 |  2 | 12689
 0 1 |  1 1 |  2 2 |      |      |      |      |  7 1 |      |  9 1 |  5 |  3 | 01279
     |  1 1 |  2 1 |  3 1 |      |      |  6 2 |      |      |  9 1 |  5 |  3 | 12369
     |  1 1 |      |      |      |  5 1 |  6 1 |  7 1 |  8 1 |  9 1 |  6 |  3 | 156789
 0 1 |      |  2 1 |  3 2 |      |  5 1 |      |      |      |  9 1 |  5 |  2 | 02359
     |      |      |  3 1 |  4 2 |  5 1 |  6 1 |      |      |  9 1 |  5 |  3 | 34569
     |  1 1 |  2 2 |      |      |  5 1 |      |  7 1 |      |  9 1 |  5 |  2 | 12579
     |      |  2 1 |  3 1 |  4 1 |  5 1 |  6 1 |      |      |  9 1 |  6 |  3 | 234569
 0 1 |      |      |      |      |  5 1 |  6 2 |  7 2 |      |      |  4 |  2 | 0567
     |      |      |      |  4 1 |      |  6 1 |  7 1 |  8 2 |  9 1 |  5 |  2 | 46789
 0 1 |      |  2 2 |      |      |      |  6 1 |      |  8 1 |  9 1 |  5 |  3 | 02689
     |  1 3 |      |  3 1 |  4 1 |      |  6 1 |      |      |      |  4 |  1 | 1346
     |      |  2 1 |      |  4 1 |      |  6 1 |  7 2 |      |  9 1 |  5 |  2 | 24679
     |      |  2 1 |  3 1 |  4 1 |  5 1 |      |      |  8 2 |      |  5 |  2 | 23458
 0 1 |  1 1 |      |  3 1 |      |      |      |  7 1 |      |  9 2 |  5 |  1 | 01379
 0 1 |  1 2 |  2 1 |      |  4 1 |      |      |      |      |  9 1 |  5 |  3 | 01249
     |  1 1 |  2 1 |      |  4 1 |  5 2 |      |      |  8 1 |      |  5 |  3 | 12458
 0 1 |  1 1 |      |  3 1 |      |  5 1 |      |      |  8 1 |  9 1 |  6 |  3 | 013589
 0 1 |  1 1 |  2 1 |      |      |  5 1 |  6 1 |  7 1 |      |      |  6 |  3 | 012567
 0 1 |  1 1 |      |  3 2 |  4 1 |      |      |  7 1 |      |      |  5 |  3 | 01347
     |  1 1 |  2 1 |      |      |      |      |  7 1 |  8 1 |  9 2 |  5 |  2 | 12789
 0 1 |      |      |  3 2 |  4 1 |      |      |  7 1 |  8 1 |      |  5 |  2 | 03478
     |  1 1 |      |  3 1 |  4 2 |      |      |  7 1 |      |  9 1 |  5 |  3 | 13479
 0 1 |  1 1 |      |      |      |      |  6 1 |  7 1 |      |  9 2 |  5 |  3 | 01679
 0 1 |  1 1 |  2 2 |  3 1 |      |      |      |  7 1 |      |      |  5 |  3 | 01237
 0 1 |  1 1 |  2 1 |  3 1 |      |      |  6 1 |  7 1 |      |      |  6 |  5 | 012367
     |  1 3 |  2 1 |  3 1 |      |      |      |  7 1 |      |      |  4 |  4 | 1237
 0 1 |  1 1 |      |  3 1 |      |      |  6 1 |      |      |  9 2 |  5 |  2 | 01369
     |  1 3 |      |  3 1 |      |  5 1 |      |  7 1 |      |      |  4 |  2 | 1357
 0 1 |      |      |  3 1 |  4 1 |  5 2 |  6 1 |      |      |      |  5 |  2 | 03456
 0 2 |      |      |      |      |  5 1 |  6 1 |      |      |  9 2 |  4 |  3 | 0569
     |      |      |  3 1 |  4 1 |  5 1 |  6 1 |  7 1 |  8 1 |      |  6 |  2 | 345678
     |  1 1 |  2 3 |      |  4 2 |      |      |      |      |      |  3 |  1 | 124
     |      |  2 1 |      |  4 1 |      |  6 1 |  7 1 |      |  9 2 |  5 |  2 | 24679
     |      |  2 2 |  3 1 |      |      |  6 1 |  7 1 |      |  9 1 |  5 |  4 | 23679
     |  1 1 |      |  3 2 |      |  5 1 |  6 1 |      |      |  9 1 |  5 |  3 | 13569
     |  1 1 |  2 1 |  3 1 |  4 1 |      |  6 1 |      |  8 1 |      |  6 |  3 | 123468
 0 1 |  1 1 |      |  3 1 |      |  5 2 |      |  7 1 |      |      |  5 |  2 | 01357
     |      |      |  3 2 |  4 1 |  5 1 |  6 1 |      |  8 1 |      |  5 |  2 | 34568
 0 1 |  1 1 |  2 1 |  3 1 |      |  5 1 |  6 1 |      |      |      |  6 |  3 | 012356
 0 1 |  1 1 |  2 1 |      |  4 1 |  5 1 |  6 1 |      |      |      |  6 |  5 | 012456
     |      |  2 1 |  3 1 |      |      |      |  7 2 |  8 1 |  9 1 |  5 |  1 | 23789
     |  1 2 |  2 1 |      |      |      |      |  7 3 |      |      |  3 |  2 | 127
 0 2 |      |      |      |      |      |  6 1 |      |  8 2 |  9 1 |  4 |  0 | 0689
 0 1 |  1 2 |      |      |  4 1 |  5 1 |  6 1 |      |      |      |  5 |  2 | 01456
     |      |  2 2 |      |  4 1 |      |      |      |  8 1 |  9 2 |  4 |  1 | 2489
 0 1 |      |      |  3 1 |  4 2 |      |      |  7 1 |  8 1 |      |  5 |  2 | 03478
     |      |  2 2 |  3 1 |  4 2 |  5 1 |      |      |      |      |  4 |  2 | 2345
 0 1 |  1 1 |  2 1 |      |      |      |  6 1 |  7 1 |  8 1 |      |  6 |  1 | 012678
     |  1 1 |      |      |  4 2 |  5 1 |      |      |  8 1 |  9 1 |  5 |  2 | 14589
     |  1 1 |  2 1 |      |      |      |  6 1 |      |  8 1 |  9 2 |  5 |  3 | 12689
 0 1 |      |  2 1 |  3 1 |  4 1 |  5 1 |      |  7 1 |      |      |  6 |  1 | 023457
     |      |      |  3 3 |      |      |  6 1 |  7 1 |  8 1 |      |  4 |  2 | 3678
     |      |  2 1 |  3 1 |      |      |  6 1 |  7 1 |      |  9 2 |  5 |  3 | 23679
     |      |      |      |      |      |      |      |      |      | 
 51  |  70  |  65  |  72  |  66  |  49  |  57  |  64  |  43  |  63  | 
     |      |  2 1 |  3 1 |  4 2 |  5 1 |      |      |      |  9 1 |  5 |  0 | 23459
 0 1 |      |      |  3 1 |  4 1 |      |  6 1 |  7 1 |      |  9 1 |  6 |  3 | 034679
     |  1 1 |      |      |  4 2 |  5 1 |  6 1 |      |  8 1 |      |  5 |  2 | 14568
 0 2 |      |  2 2 |  3 1 |  4 1 |      |      |      |      |      |  4 |  1 | 0234
     |  1 1 |      |  3 1 |      |  5 2 |      |  7 1 |      |  9 1 |  5 |  1 | 13579
     |  1 1 |      |  3 1 |  4 2 |  5 1 |      |  7 1 |      |      |  5 |  4 | 13457
     |  1 1 |      |  3 1 |  4 1 |      |  6 2 |  7 1 |      |      |  5 |  4 | 13467
 0 1 |      |  2 2 |      |      |      |  6 2 |  7 1 |      |      |  4 |  2 | 0267
 0 1 |      |      |      |      |      |  6 1 |  7 1 |  8 1 |  9 2 |  5 |  3 | 06789
     |      |      |  3 3 |  4 1 |  5 1 |      |  7 1 |      |      |  4 |  1 | 3457
 0 1 |      |      |      |  4 1 |  5 1 |  6 1 |  7 1 |  8 1 |      |  6 |  3 | 045678
     |  1 3 |      |      |      |      |      |  7 2 |  8 1 |      |  3 |  2 | 178
     |      |  2 1 |      |  4 1 |  5 1 |      |      |  8 1 |  9 2 |  5 |  1 | 24589
     |  1 2 |      |      |  4 1 |  5 1 |  6 1 |  7 1 |      |      |  5 |  2 | 14567
     |      |      |      |  4 1 |  5 1 |      |  7 1 |  8 2 |  9 1 |  5 |  3 | 45789
 0 2 |      |  2 2 |  3 1 |      |      |  6 1 |      |      |      |  4 |  0 | 0236
     |  1 1 |  2 1 |  3 1 |      |      |  6 1 |  7 1 |  8 1 |      |  6 |  3 | 123678
     |      |  2 1 |  3 1 |      |      |  6 1 |  7 1 |  8 1 |  9 1 |  6 |  5 | 236789
 0 1 |      |      |  3 2 |      |  5 1 |  6 1 |      |      |  9 1 |  5 |  3 | 03569
 0 1 |  1 1 |      |  3 1 |  4 1 |      |  6 2 |      |      |      |  5 |  3 | 01346
 0 1 |      |  2 2 |  3 1 |      |      |      |  7 1 |  8 1 |      |  5 |  2 | 02378
     |  1 1 |      |  3 1 |  4 1 |      |  6 1 |  7 1 |      |  9 1 |  6 |  2 | 134679
 0 1 |  1 3 |      |  3 1 |      |      |      |  7 1 |      |      |  4 |  3 | 0137
     |  1 1 |  2 1 |  3 2 |      |      |      |      |  8 1 |  9 1 |  5 |  2 | 12389
 0 2 |      |      |      |  4 1 |      |      |      |  8 1 |  9 2 |  4 |  2 | 0489
     |      |      |  3 1 |  4 1 |  5 1 |  6 1 |      |  8 1 |  9 1 |  6 |  3 | 345689
 0 1 |      |      |  3 2 |      |      |  6 1 |  7 1 |      |  9 1 |  5 |  3 | 03679
     |      |      |  3 1 |  4 1 |  5 1 |  6 1 |  7 1 |      |  9 1 |  6 |  4 | 345679
 0 1 |      |  2 1 |      |  4 2 |      |  6 1 |  7 1 |      |      |  5 |  3 | 02467
 0 1 |      |      |      |  4 1 |  5 1 |      |  7 2 |      |  9 1 |  5 |  3 | 04579
 0 1 |      |      |  3 1 |  4 1 |  5 1 |      |  7 1 |      |  9 1 |  6 |  5 | 034579
 0 1 |      |  2 1 |  3 1 |  4 1 |      |  6 1 |      |  8 1 |      |  6 |  3 | 023468
     |  1 2 |  2 1 |  3 1 |      |  5 1 |      |      |  8 1 |      |  5 |  3 | 12358
 0 1 |  1 1 |  2 2 |      |      |  5 1 |      |      |  8 1 |      |  5 |  4 | 01258
 0 1 |  1 2 |      |      |      |      |  6 1 |  7 1 |  8 1 |      |  5 |  3 | 01678
     |  1 1 |  2 1 |  3 1 |  4 1 |  5 1 |      |  7 1 |      |      |  6 |  2 | 123457
     |  1 1 |  2 2 |      |      |      |  6 1 |      |  8 1 |  9 1 |  5 |  2 | 12689
 0 1 |  1 1 |  2 2 |      |      |      |      |  7 1 |      |  9 1 |  5 |  3 | 01279
     |  1 1 |  2 1 |  3 1 |      |      |  6 2 |      |      |  9 1 |  5 |  3 | 12369
     |  1 1 |      |      |      |  5 1 |  6 1 |  7 1 |  8 1 |  9 1 |  6 |  3 | 156789
 0 1 |      |  2 1 |  3 2 |      |  5 1 |      |      |      |  9 1 |  5 |  2 | 02359
     |      |      |  3 1 |  4 2 |  5 1 |  6 1 |      |      |  9 1 |  5 |  3 | 34569
     |  1 1 |  2 2 |      |      |  5 1 |      |  7 1 |      |  9 1 |  5 |  2 | 12579
     |      |  2 1 |  3 1 |  4 1 |  5 1 |  6 1 |      |      |  9 1 |  6 |  3 | 234569
 0 1 |      |      |      |      |  5 1 |  6 2 |  7 2 |      |      |  4 |  2 | 0567
     |      |      |      |  4 1 |      |  6 1 |  7 1 |  8 2 |  9 1 |  5 |  2 | 46789
 0 1 |      |  2 2 |      |      |      |  6 1 |      |  8 1 |  9 1 |  5 |  3 | 02689
     |  1 3 |      |  3 1 |  4 1 |      |  6 1 |      |      |      |  4 |  1 | 1346
     |      |  2 1 |      |  4 1 |      |  6 1 |  7 2 |      |  9 1 |  5 |  2 | 24679
     |      |  2 1 |  3 1 |  4 1 |  5 1 |      |      |  8 2 |      |  5 |  2 | 23458
 0 1 |  1 1 |      |  3 1 |      |      |      |  7 1 |      |  9 2 |  5 |  1 | 01379
 0 1 |  1 2 |  2 1 |      |  4 1 |      |      |      |      |  9 1 |  5 |  3 | 01249
     |  1 1 |  2 1 |      |  4 1 |  5 2 |      |      |  8 1 |      |  5 |  3 | 12458
 0 1 |  1 1 |      |  3 1 |      |  5 1 |      |      |  8 1 |  9 1 |  6 |  3 | 013589
 0 1 |  1 1 |  2 1 |      |      |  5 1 |  6 1 |  7 1 |      |      |  6 |  3 | 012567
 0 1 |  1 1 |      |  3 2 |  4 1 |      |      |  7 1 |      |      |  5 |  3 | 01347
     |  1 1 |  2 1 |      |      |      |      |  7 1 |  8 1 |  9 2 |  5 |  2 | 12789
 0 1 |      |      |  3 2 |  4 1 |      |      |  7 1 |  8 1 |      |  5 |  2 | 03478
     |  1 1 |      |  3 1 |  4 2 |      |      |  7 1 |      |  9 1 |  5 |  3 | 13479
 0 1 |  1 1 |      |      |      |      |  6 1 |  7 1 |      |  9 2 |  5 |  3 | 01679
 0 1 |  1 1 |  2 2 |  3 1 |      |      |      |  7 1 |      |      |  5 |  3 | 01237
 0 1 |  1 1 |  2 1 |  3 1 |      |      |  6 1 |  7 1 |      |      |  6 |  5 | 012367
     |  1 3 |  2 1 |  3 1 |      |      |      |  7 1 |      |      |  4 |  4 | 1237
 0 1 |  1 1 |      |  3 1 |      |      |  6 1 |      |      |  9 2 |  5 |  2 | 01369
     |  1 3 |      |  3 1 |      |  5 1 |      |  7 1 |      |      |  4 |  2 | 1357
 0 1 |      |      |  3 1 |  4 1 |  5 2 |  6 1 |      |      |      |  5 |  2 | 03456
 0 2 |      |      |      |      |  5 1 |  6 1 |      |      |  9 2 |  4 |  3 | 0569
     |      |      |  3 1 |  4 1 |  5 1 |  6 1 |  7 1 |  8 1 |      |  6 |  2 | 345678
     |  1 1 |  2 3 |      |  4 2 |      |      |      |      |      |  3 |  1 | 124
     |      |  2 1 |      |  4 1 |      |  6 1 |  7 1 |      |  9 2 |  5 |  2 | 24679
     |      |  2 2 |  3 1 |      |      |  6 1 |  7 1 |      |  9 1 |  5 |  4 | 23679
     |  1 1 |      |  3 2 |      |  5 1 |  6 1 |      |      |  9 1 |  5 |  3 | 13569
     |  1 1 |  2 1 |  3 1 |  4 1 |      |  6 1 |      |  8 1 |      |  6 |  3 | 123468
 0 1 |  1 1 |      |  3 1 |      |  5 2 |      |  7 1 |      |      |  5 |  2 | 01357
     |      |      |  3 2 |  4 1 |  5 1 |  6 1 |      |  8 1 |      |  5 |  2 | 34568
 0 1 |  1 1 |  2 1 |  3 1 |      |  5 1 |  6 1 |      |      |      |  6 |  3 | 012356
 0 1 |  1 1 |  2 1 |      |  4 1 |  5 1 |  6 1 |      |      |      |  6 |  5 | 012456
     |      |  2 1 |  3 1 |      |      |      |  7 2 |  8 1 |  9 1 |  5 |  1 | 23789
     |  1 2 |  2 1 |      |      |      |      |  7 3 |      |      |  3 |  2 | 127
 0 2 |      |      |      |      |      |  6 1 |      |  8 2 |  9 1 |  4 |  0 | 0689
 0 1 |  1 2 |      |      |  4 1 |  5 1 |  6 1 |      |      |      |  5 |  2 | 01456
     |      |  2 2 |      |  4 1 |      |      |      |  8 1 |  9 2 |  4 |  1 | 2489
 0 1 |      |      |  3 1 |  4 2 |      |      |  7 1 |  8 1 |      |  5 |  2 | 03478
     |      |  2 2 |  3 1 |  4 2 |  5 1 |      |      |      |      |  4 |  2 | 2345
 0 1 |  1 1 |  2 1 |      |      |      |  6 1 |  7 1 |  8 1 |      |  6 |  1 | 012678
     |  1 1 |      |      |  4 2 |  5 1 |      |      |  8 1 |  9 1 |  5 |  2 | 14589
     |  1 1 |  2 1 |      |      |      |  6 1 |      |  8 1 |  9 2 |  5 |  3 | 12689
 0 1 |      |  2 1 |  3 1 |  4 1 |  5 1 |      |  7 1 |      |      |  6 |  1 | 023457
     |      |      |  3 3 |      |      |  6 1 |  7 1 |  8 1 |      |  4 |  2 | 3678
     |      |  2 1 |  3 1 |      |      |  6 1 |  7 1 |      |  9 2 |  5 |  3 | 23679
     |  1 1 |      |  3 1 |  4 1 |      |      |  7 1 |      |  9 2 |  5 |  3 | 13479
 0 1 |  1 2 |      |  3 1 |      |      |  6 1 |  7 1 |      |      |  5 |  3 | 01367
     |      |  2 1 |  3 1 |  4 1 |  5 1 |      |  7 1 |  8 1 |      |  6 |  2 | 234578
     |  1 1 |  2 1 |      |      |  5 1 |      |  7 2 |      |  9 1 |  5 |  3 | 12579
     |      |  2 2 |  3 2 |      |  5 2 |      |      |      |      |  3 |  2 | 235
 0 1 |  1 2 |  2 1 |      |  4 1 |  5 1 |      |      |      |      |  5 |  2 | 01245
 0 1 |  1 2 |  2 1 |      |      |      |  6 1 |  7 1 |      |      |  5 |  3 | 01267
 0 1 |      |  2 1 |  3 1 |      |  5 1 |  6 1 |  7 1 |      |      |  6 |  4 | 023567
 0 1 |  1 1 |  2 2 |      |  4 1 |      |  6 1 |      |      |      |  5 |  3 | 01246
 0 1 |  1 1 |  2 1 |  3 2 |      |      |      |      |  8 1 |      |  5 |  3 | 01238
     |      |      |      |      |      |      |      |      |      | 
 53  |  72  |  69  |  73  |  59  |  50  |  58  |  65  |  42  |  59  | 
321-  1  231-  3  321- 10  240- 17  411-  1  231-  2  411- 16  330-  1  231-  7  
330-  0  330-  1  060- 59  330- 14  321-  5  132- 47  420-  4  231-  1  222- 20  
231-  9  321-  4  420-  1  240-  4  420- 20  411-  5  321- 11  312- 32  240-  4  
330- 11  231-  8  411-  2  141- 33  240-  1  411- 64  240-  0  240- 12  510-  6  
321- 16  231-  2  222-  7  330-  4  231- 16  150- 13  510- 44  420-  1  330-  3  
420-  5  222- 151  240-  2  330-  0  330-  9  240- 18  420-  0  420-  8  321-  0  
321- 17  150-  0  150- 16  231- 23  312- 60  330-  0  330-  6  420-  3  132- 17  
402- 267  141- 28  420-  0  420-  1  330- 18  420-  1  240- 18  420-  4  060- 57  
321-  1  150-  8  321-  3  420-  0  420-  0  420-  7  321- 16  042- 234  132- 192  
231-  1  150-  9  231-  0  231-  4  420- 15  330-  9  510- 38  240-  1  231-  1  
240- 21  231-  2  150- 18  141- 51  231-  7  321- 18  330-  1  411- 11  330-  0  
          
330- 07 01 00 01 14 11 04 03 00 09 00 06 18 09 01 00 00 14 00 06 01 14 01 00 00 05 00 04 03 05 02 00 04 02 02 01 07 10 00 03 02 03 05 07 02 01 02 05 07 04 00 03 01 01 03 02 06 01 06 04 01 00 05 00 00 02 06 06 18 00 06 07 04 01 01 05 02 02 04 02 01 06 00 10 10 07 02 00 03 00 04 06 01 03 12 11 10 02 00 12 00 00 02 00 00 01 00 00 08 
240- 03 17 04 04 01 00 12 02 18 18 01 21 09 04 07 21 05 01 08 04 09 00 01 02 00 02 00 03 12 05 06 08 30 01 03 16 02 19 04 00 09 05 03 03 16 07 05 00 11 01 08 09 07 15 10 07 05 05 05 10 15 00 06 
420- 15 04 01 20 01 05 00 08 03 00 01 01 04 00 00 07 15 03 04 13 07 00 13 29 02 04 20 04 00 00 10 07 13 11 06 11 03 01 02 04 16 10 04 00 04 04 00 07 09 02 29 00 09 03 03 05 04 04 02 08 05 01 05 08 05 09 00 00 01 02 03 01 15 14 
321- 00 01 10 05 04 11 16 00 17 01 03 16 18 02 03 08 05 01 20 02 01 03 15 01 01 04 32 07 09 12 03 20 06 07 00 06 03 00 01 04 10 29 00 08 13 06 06 03 06 00 04 04 10 11 10 02 12 26 01 05 12 01 
231- 01 03 02 07 01 09 08 02 16 23 01 00 04 01 02 07 00 00 03 11 10 05 01 12 02 02 23 36 02 04 17 01 00 50 04 18 09 11 02 17 13 23 05 04 05 17 03 06 07 00 01 00 02 01 01 00 00 07 05 06 03 15 06 01 00 
141- 30 33 28 51 00 01 23 03 10 17 02 09 21 10 00 06 07 16 03 01 36 01 21 17 13 11 24 23 04 39 04 
411- 04 01 16 05 02 64 11 44 06 39 07 33 19 11 03 20 10 41 02 18 21 16 15 89 
510- 35 06 44 38 01 05 32 03 01 42 20 15 12 07 10 29 02 07 07 32 55 07 69 21 
150- 41 13 00 16 08 09 18 06 22 07 03 40 43 02 12 117 30 22 29 36 04 
222- 17 20 07 151 22 03 43 67 36 04 05 23 26 00 15 27 
312- 25 32 60 77 17 13 19 57 42 10 03 142 
132- 14 47 17 192 204 
041012133032  |  1  |   4   |   0   |  
051315171921  |  0  |   2   |   1   |  
041314172531  |  1  |   2   |   2   |  
031416262731  |  1  |   4   |   2   |  
021617202632  |  1  |   4   |   2   |  
091718262930  |  2  |   2   |   2   |  
041323252733  |  0  |   2   |   0   |  
101418252627  |  2  |   2   |   2   |  
011117182731  |  1  |   3   |   2   |  
040519222829  |  2  |   2   |   0   |  
010711141516  |  2  |   0   |   0   |  
040508192728  |  2  |   1   |   0   |  
030610122230  |  0  |   2   |   0   |  
081116172233  |  1  |   1   |   1   |  
081316172932  |  1  |   3   |   3   |  
131619202325  |  1  |   1   |   2   |  
040620212633  |  1  |   3   |   1   |  
071822303233  |  1  |   3   |   1   |  
242627293133  |  1  |   3   |   1   |  
101113212731  |  1  |   1   |   2   |  
020308131921  |  1  |   0   |   2   |  
040809102930  |  3  |   2   |   1   |  
040613151819  |  1  |   0   |   1   |  
030607293033  |  2  |   2   |   1   |  
041623252729  |  0  |   2   |   1   |  
040614173032  |  0  |   2   |   1   |  
171920242527  |  2  |   0   |   1   |  
030710151924  |  0  |   2   |   2   |  
021316182430  |  0  |   3   |   1   |  
010305122128  |  0  |   3   |   0   |  
010215222830  |  1  |   2   |   2   |  
010610111827  |  1  |   2   |   1   |  
030405121721  |  2  |   3   |   0   |  
022126282932  |  1  |   1   |   1   |  
070910123132  |  2  |   1   |   1   |  
061921263233  |  1  |   3   |   1   |  
010708152629  |  1  |   1   |   1   |  
030513202229  |  0  |   0   |   1   |  
031415162429  |  2  |   1   |   2   |  
020709253132  |  1  |   2   |   0   |  
061419232532  |  0  |   2   |   2   |  
071617202526  |  2  |   3   |   1   |  
071618242829  |  1  |   3   |   2   |  
091012161832  |  1  |   0   |   2   |  
030611212431  |  0  |   2   |   0   |  
060709121724  |  1  |   2   |   2   |  
020304051828  |  3  |   2   |   0   |  
030917202129  |  1  |   3   |   1   |  
010211242930  |  2  |   2   |   1   |  
020514182125  |  0  |   2   |   1   |  
091521232830  |  0  |   1   |   1   |  
051017263132  |  1  |   2   |   0   |  
040711132330  |  0  |   3   |   0   |  
091112171819  |  3  |   1   |   1   |  
030708102324  |  2  |   2   |   0   |  
010407131419  |  1  |   2   |   1   |  
091719202126  |  2  |   1   |   1   |  
030720212232  |  2  |   3   |   2   |  
101213212627  |  2  |   1   |   1   |  
071121233132  |  1  |   1   |   1   |  
061019232931  |  0  |   3   |   2   |  
010513212731  |  0  |   1   |   1   |  
040510131516  |  2  |   1   |   2   |  
091016202529  |  1  |   2   |   2   |  
040623252728  |  1  |   1   |   1   |  
021112142432  |  1  |   1   |   0   |  
040916172229  |  1  |   0   |   0   |  
021722262933  |  0  |   1   |   3   |  
010309151633  |  1  |   3   |   1   |  
121421262833  |  0  |   1   |   1   |  
010305202527  |  0  |   3   |   0   |  
030516182324  |  1  |   1   |   2   |  
061011253233  |  2  |   2   |   0   |  
011415163032  |  2  |   1   |   1   |  
070809121733  |  2  |   2   |   0   |  
010711121727  |  1  |   2   |   3   |  
081019262830  |  0  |   4   |   0   |  
050611142021  |  2  |   2   |   0   |  
091214192832  |  0  |   2   |   1   |  
041417283033  |  0  |   1   |   2   |  
041422253233  |  1  |   1   |   3   |  
101218262731  |  1  |   2   |   0   |  
010405141928  |  1  |   2   |   0   |  
091819263132  |  2  |   1   |   1   |  
031015242732  |  0  |   3   |   1   |  
030713182326  |  0  |   2   |   1   |  
161922232729  |  1  |   3   |   1   |  
091114171923  |  0  |   2   |   2   |  
071011212326  |  1  |   1   |   2   |  
071418232532  |  0  |   1   |   2   |  
020709172125  |  0  |   1   |   2   |  
020512132533  |  1  |   0   |   2   |  
121420212531  |  1  |   2   |   2   |  
